1;0;1;1000;0,000396
101;10100;1;1000;0,059090
201;40200;1;1000;0,129202
301;90300;1;1000;0,213746
401;160400;1;1000;0,282418
501;250500;1;1000;0,349509
601;360600;1;1000;0,405939
701;490700;1;1000;0,473361
801;640800;1;1000;0,528685
901;810900;1;1000;0,579856
1001;1001000;1;1000;0,664286
1101;1211100;1;1000;0,726504
1201;1441200;1;1000;0,797839
1301;1691300;1;1000;0,823916
1401;1961400;1;1000;0,357354
1501;2251500;1;1000;0,384294
1601;2561600;1;1000;0,420089
1701;2891700;1;1000;0,446350
1801;3241800;1;1000;0,466109
1901;3611900;1;1000;0,502859
2001;4002000;1;1000;0,529622
2101;4412100;1;1000;0,560613
2201;4842200;1;1000;0,598725
2301;5292300;1;1000;0,639016
2401;5762400;1;1000;0,658662
2501;6252500;1;1000;0,684633
2601;6762600;1;1000;0,714673
2701;7292700;1;1000;0,761081
2801;7842800;1;1000;0,774087
2901;8412900;1;1000;0,806263
3001;9003000;1;1000;0,836546
3101;9613100;1;1000;0,875807
3201;10243200;1;1000;0,908926
3301;10893300;1;1000;0,938116
3401;11563400;1;1000;0,972046
3501;12253500;1;1000;1,001888
3601;12963600;1;1000;1,022266
3701;13693700;1;1000;1,054867
3801;14443800;1;1000;1,093093
3901;15213900;1;1000;1,124850
4001;16004000;1;1000;1,152592
4101;16814100;1;1000;1,196189
4201;17644200;1;1000;1,243532
4301;18494300;1;1000;1,282496
4401;19364400;1;1000;1,320207
4501;20254500;1;1000;1,364703
4601;21164600;1;1000;1,387691
4701;22094700;1;1000;1,434379
4801;23044800;1;1000;1,481223
4901;24014900;1;1000;1,506942
5001;25005000;1;1000;1,531502
5101;26015100;1;1000;1,568837
5201;27045200;1;1000;1,608610
5301;28095300;1;1000;1,632217
5401;29165400;1;1000;1,652422
5501;30255500;1;1000;1,680133
5601;31365600;1;1000;1,721594
5701;32495700;1;1000;1,760114
5801;33645800;1;1000;1,836382
5901;34815900;1;1000;1,847627
6001;36006000;1;1000;1,902917
6101;37216100;1;1000;1,965588
6201;38446200;1;1000;1,988080
6301;39696300;1;1000;2,024927
6401;40966400;1;1000;2,072548
6501;42256500;1;1000;2,091344
6601;43566600;1;1000;2,124083
6701;44896700;1;1000;2,184203
6801;46246800;1;1000;2,213523
6901;47616900;1;1000;2,259434
7001;49007000;1;1000;2,280576
7101;50417100;1;1000;2,308574
7201;51847200;1;1000;2,346536
7301;53297300;1;1000;2,383728
7401;54767400;1;1000;2,465387
7501;56257500;1;1000;2,509990
7601;57767600;1;1000;2,548122
7701;59297700;1;1000;2,604997
7801;60847800;1;1000;2,628420
7901;62417900;1;1000;2,688079
8001;64008000;1;1000;2,707439
8101;65618100;1;1000;2,768860
8201;67248200;1;1000;2,805581
8301;68898300;1;1000;2,858662
8401;70568400;1;1000;2,905488
8501;72258500;1;1000;2,994645
8601;73968600;1;1000;2,972529
8701;75698700;1;1000;3,014233
8801;77448800;1;1000;3,072350
8901;79218900;1;1000;3,114133
9001;81009000;1;1000;3,159730
9101;82819100;1;1000;3,191586
9201;84649200;1;1000;3,251421
9301;86499300;1;1000;3,348489
9401;88369400;1;1000;3,357876
9501;90259500;1;1000;3,406948
9601;92169600;1;1000;3,442666
9701;94099700;1;1000;3,464803
9801;96049800;1;1000;3,555022
9901;98019900;1;1000;3,608078
10001;100010000;1;1000;3,852210
